Genes	BAT1	BAT2	BAT3	BAT4	BAT5	BAT6	BAT7	BAT8	BAT9	BAT10	BAT11	BAT12	BAT13	CRD1	CRD2	CRD3	CRD4	CRD5	CRD6	CRD7	CRD8	CRD9	CRD10	CRD11	CRD12	CRD13	CRD14	CRD15	CRD16	CRD17	CRD18	CRD19	CTX1	CTX2	CTX3	CTX4	CTX5	CTX6	CTX7-1	CTX8-1	CTX9	CTX10-1	CTX11-1	CTX12	CTX13	CTX14	CTX15	CTX16	CTX17	CTX18	CTX19	DR1	DR2	DR3	DR4	DR5	DR6	DR7	DR8	DR9	DR10	DR11	DR12	DR13	DR14	DR15	DR16	DR17	DR18	DR19	DR20	DR21	DR22	HIP1	HIP2	HIP3	HIP4	HIP5	HIP6	HIP7	HIP8	HIP9	HIP10	HIP11	HIP12	HIP13	HIP14	HIP15	HIP16	HIP17	HIP18
30	4317	17651	5	8233	10	0	2862	8118	30	0	1820	18	0	851	9497	3652	477	307	5835	2262	7936	2096	1745	1214	8305	2018	1345	2924	2101	670	1617	636	4390	654	2029	2321	1355	1384	5568	191	285	2123	1846	4043	1401	303	1226	628	32	237	1200	62389	21859	2422	1232	232	106648	5997	8409	3453	47	4	4410	28265	5441	72	1297	268	0	5	0	0	2	13127	11023	15469	3324	3417	3090	2264	3081	1423	2207	2122	2021	2694	1348	467	634	2007	787
83	0	0	0	795	756	0	0	6464	8	0	500	8	1	2	4980	4167	5	2	1032	165	0	0	23	0	2	194	77	9	0	0	0	199	3838	1003	3466	632	1256	2414	2732	1253	31	3682	1488	1864	2	926	814	496	201	321	319	29724	26037	747	14257	2833	25107	12161	4488	5743	58622	58	3140	602	4097	58	5964	2102	4	584	7291	9646	4	3167	3952	3695	2292	2905	1817	1743	908	859	1420	630	1395	1057	3431	1990	1774	1049	283
235	2084	0	0	5	1406	0	0	8643	217	4	223	13	4	3	0	1076	0	364	225	2082	2	772	1707	0	0	348	267	1212	44	157	262	398	3785	355	173	807	1457	248	702	998	1	843	382	360	0	4	752	375	7	51	655	1151	25628	53763	1291	100	627	4	393	764	1	107	9	7	14263	1	0	0	0	2320	0	1	1	1974	2117	1771	1287	2218	1553	407	654	462	303	1500	306	514	921	333	260	153	638
488	7568	10715	59	1992	6891	23259	62610	2	3061	91	106	1	5	1521	2	1712	4317	2131	248	5803	1167	790	1442	254	2961	2855	584	680	494	1158	4954	1079	2877	4802	4153	1739	1483	9191	2883	3425	7	1153	423	1362	657	980	826	1093	264	1601	788	66	8867	5397	654	22	672	10	18	390	0	1	5	9869	6	1	1551	88	0	2863	0	2	3238	3373	2655	3263	3671	1341	820	993	1633	1339	542	1212	70	958	1326	510	414	995	243
534	47710	54106	16702	9839	5977	17861	14189	6320	7349	2364	2528	4218	21	101664	57416	82253	27299	83554	50880	41313	19964	31565	30919	22441	15772	29727	16526	22829	9379	14221	18111	12480	13154	14464	17544	12058	14625	9455	9637	12630	8295	13007	4799	13878	7608	9554	7688	6199	458	3858	2658	32414	36534	18625	51376	16477	24071	2313	10813	3369	3843	6293	3430	7428	19416	591	7881	3823	7490	2549	1544	407	3664	24089	39273	42183	11984	14207	22565	11022	25392	3111	14095	3365	4124	6580	7557	4512	25706	7994	4334
549	1177	522	0	6010	214	0	0	3	3278	1	1941	12	4	1411	2166	5320	5378	1468	1866	635	1860	1808	2	449	614	442	134	1135	7	462	485	215	7041	626	4880	2708	1189	2086	1856	3447	33	1158	1316	2310	1246	1320	1054	407	26	937	1105	75978	12061	544	2270	54929	13455	7862	2672	1568	18	31	1790	1134	4322	4	4475	344	0	8	5058	0	3145	2536	3046	3184	5002	1370	852	1508	1492	1929	616	360	565	606	297	778	1173	974	312
652	1014	1	0	731	23	0	0	0	0	0	1	0	0	30588	2342	4138	1214	765	16	153	618	775	24	631	223	2510	1484	1002	108	950	1	13	4715	9213	3063	2194	3551	5306	1434	1167	7368	675	673	1138	808	69	822	3743	33	667	16	215082	15082	3954	156	37479	12651	60	18244	226	4	2738	39	13	1637	16	2637	88	0	0	4890	7	0	3149	4645	3525	2059	2026	1316	1784	761	251	843	1100	109	1505	670	1044	985	583	536
726	18681	13720	4615	3716	8835	83	0	0	3232	23	1421	5	2531	253	6872	7633	5332	6972	20247	4065	3130	3845	4874	5400	1901	152	1981	3654	2883	5973	22266	3902	6603	20487	5127	1329	2974	1203	4222	8012	6967	12108	10036	3006	7722	3507	2280	1975	1174	3281	2648	33589	11198	7	28	15786	16240	52	5265	3143	2173	2	9073	89	1334	10	3001	30	14403	122	1393	8	31111	13935	13193	9883	15734	8521	1907	3500	3011	2579	1699	3950	4825	2801	674	3842	2464	3047	1625
772	0	0	0	0	0	0	0	0	15	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8069	2809	3523	4990	3955	4367	2058	3957	2	1631	3603	4014	1835	2085	2465	1784	460	980	1982	122062	21778	75185	20661	5211	10668	5505	5496	6944	23	4780	457	1268	2558	7	6020	351	6158	48	272	10	8	14366	16794	9880	3063	4736	4037	6982	3551	2901	2994	2588	2415	3697	800	1637	3768	2250	1417
1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	1	0	0	1348	0	0	0	7657	8	54	0	0	0	0	50	4583	14	3423	2633	2588	396	1297	425	0	1447	37	3922	1410	2	763	325	292	959	286	90439	79573	90756	46486	12565	41466	36811	21014	19264	61655	27864	2391	53254	26651	9823	29015	12905	3925	9123	5835	3458	7139	5645	6914	6181	809	4744	1054	2874	2474	3241	1472	2024	1110	746	190	208	957	930	404
