Genes	BAT1	BAT2	BAT3	BAT4	BAT5	BAT6	BAT7	BAT8	BAT9	BAT10	BAT11	BAT12	BAT13	CRD1	CRD2	CRD3	CRD4	CRD5	CRD6	CRD7	CRD8	CRD9	CRD10	CRD11	CRD12	CRD13	CRD14	CRD15	CRD16	CRD17	CRD18	CRD19	CTX1	CTX2	CTX3	CTX4	CTX5	CTX6	CTX7-1	CTX8-1	CTX9	CTX10-1	CTX11-1	CTX12	CTX13	CTX14	CTX15	CTX16	CTX17	CTX18	CTX19	DR1	DR2	DR3	DR4	DR5	DR6	DR7	DR8	DR9	DR10	DR11	DR12	DR13	DR14	DR15	DR16	DR17	DR18	DR19	DR20	DR21	DR22	HIP1	HIP2	HIP3	HIP4	HIP5	HIP6	HIP7	HIP8	HIP9	HIP10	HIP11	HIP12	HIP13	HIP14	HIP15	HIP16	HIP17	HIP18
ABRACL	6.23624011618373	7.56684801985415	0.863398157748525	5.25212226550374	7.99725131203862	8.05068617393311	0.663140831970973	8.44325308747019	5.19772685749602	10.2565871628961	4.07862529538343	-1.93591120805954	9.1803999504072	10.1803094794572	9.93510349844064	9.93014407227299	9.78101464664247	10.6637338533377	10.1733275693785	9.78101464664247	9.99536063666753	10.3891977554482	10.9482488511538	10.3090312370489	11.7079080521794	10.7350159938238	10.9482488511538	10.0753883028818	11.6618694651854	10.9144009309769	11.1023565260661	10.9819021385885	-3.13224468715035	1.0217597690348	-3.5231169354752	7.1852680781985	3.21477852030639	0.635471082544136	2.87761584763475	-3.61227593852565	-2.58579802030266	-1.52282150387968	-1.27491822209974	0.0942091685800567	-3.22165583386936	4.38112872134549	-0.180626433737804	-0.860046950762982	-0.750659627372496	-3.41373844913032	-0.721996904941658	-1.88927042630961	2.46585010272978	-1.2053857738179	-2.2474247574157	-2.82169791953029	-2.58030262879949	8.89432038512811	-3.08377127483937	-2.87330747341724	-2.14705663672281	-1.97022374424539	-2.87330747341724	-2.60885498445539	-2.77162247126908	-2.06162242549096	-2.77162247126908	-1.6315742244868	10.0835329549389	2.93287772922191	2.08895247371663	4.48872601303309	5.82499002713134	3.68718140746126	2.11660291514133	2.72586394614775	1.81107395989917	1.51156961590475	-1.25061683559424	-0.809874495044768	1.94380415966803	-1.38654275933725	-0.531159551926216	-1.44558644802967	3.78918079513115	-1.1510636603316	-1.5351184062542	-1.52282150387968	-1.40895186089262	3.74439809018808	-2.53653797324797
ACAA2	10.8472076415467	11.0247675022544	10.0137262978753	8.13305693752848	11.1617708194998	10.9144009309769	11.0611331647229	8.69532962236427	9.1564187208471	9.50364836680592	6.67352159801935	9.91103020436779	10.7920188604267	8.25248638248777	8.98397600458668	9.31521017070417	6.14533840296524	9.27199343282186	7.32935055076959	6.72709722162852	4.67617048536577	8.43869607501676	6.31481924093233	8.08226569051847	7.24752535605686	8.4679519696057	8.08226569051847	9.27199343282186	7.195068835111	9.24325378806344	10.3345157426321	7.25465710334946	6.37460557355996	5.1835876221652	2.55008505469849	-3.43907578928732	3.32041502779873	-1.5351184062542	-1.1510636603316	5.15196418027798	1.0217597690348	1.59580709302241	-1.66520601452908	0.931077869248975	-1.56413470378302	-3.36646574825007	-2.04859896358759	-0.160936823277957	6.93699011506364	4.96278912006134	-2.59129341180584	-3.48229698877331	-3.61626733922166	-3.11287604055122	-0.985371753893901	-3.61626733922166	-2.58030262879949	8.54308950882386	-3.08377127483937	-0.601992279638939	-2.14705663672281	-1.97022374424539	-2.87330747341724	-2.60885498445539	-2.77162247126908	-2.06162242549096	-2.77162247126908	5.02017551426098	-0.369324470445978	1.96344630907034	2.08895247371663	-0.385164338669613	-1.31107064327906	-0.961594186295956	-0.731066932086595	-1.26189987809183	-0.531159551926216	3.49593251886451	-0.313208407822439	-0.00378519651108286	-0.836961105683283	-1.97022374424539	-1.66520601452908	-0.613777090931718	1.97152739699337	-1.3945790810624	-1.98005312311229	-1.35425042042562	-0.063347961754707	1.08690071240172	-2.60885498445539
ACADL	11.6062020808162	11.5122138310105	10.7030143933798	9.72599768425082	9.94179480105219	9.40753158051757	11.7917936466342	9.95558901706516	8.5233594193874	7.98250188160353	10.2831357620636	11.2910397149347	5.99210647619917	11.9657843680273	11.6618694651854	12.1427469208093	11.3265968948032	12.987990149343	11.913432975156	12.5392471906138	10.4103178747948	11.8622539659286	11.2910397149347	12.0729257018552	11.2046639735527	11.4277134450893	12.3337876778051	11.4966021904307	11.6473096512721	12.8709646929068	12.2775953644583	11.6618694651854	-2.38762556512948	-0.369324470445978	0.849740194498015	4.05923469742754	-3.06750925171117	3.85971381685033	-1.08231337132148	2.27800673603687	-2.58579802030266	-1.74515901877052	-3.44775988340639	-2.12732455706756	-3.22165583386936	3.96492899724406	-1.28793656610766	-0.240464494845743	6.15841489910505	1.86489248684655	-0.619572285026377	9.19962219916037	0.121978574063814	1.463140005673	-1.44558644802967	5.56161889699817	4.6669483252943	5.28703209121455	-1.00179360280165	-0.880521824308623	0.770688926648138	-1.97022374424539	-2.87330747341724	6.82347653645633	-2.77162247126908	7.55489390452481	5.43756105125261	-1.6315742244868	-0.369324470445978	-2.19438619578248	2.08895247371663	-0.385164338669613	-1.31107064327906	-0.304522944989536	-1.06149707129236	-1.6925233500064	8.00674610171358	-1.61765036100971	-2.1611256442866	0.0583948740623972	-2.74795623190998	-3.49197898942276	-3.12129588686646	-3.35692815055291	-3.37743342861169	-2.8923414497839	6.90587407021777	-0.123240297940211	0.394996842988608	-0.985371753893901	-3.45954545769758
ACADM	11.5266152377746	10.0753883028818	10.3473184145606	9.13342079567706	5.54612305092682	9.0749480181919	11.4547888882085	10.6322159740622	7.99725131203862	3.22712016438545	7.77478874982177	11.5533481887991	3.75366163442815	9.49134486656178	11.4966021904307	10.2232095691008	7.75748705051237	10.2961037145885	9.59536668055406	9.26477117796025	8.7677538750524	10.3761240722593	9.40106087214318	9.84300501490336	10.2502551685984	10.6162174731511	11.1723064394835	10.5069935253341	10.5346237658311	11.402835604372	11.1128086346827	9.67642155227928	-1.56413470378302	1.39246559808666	4.6669483252943	-2.1040538603811	1.95536522114731	-1.70080699223672	-2.1611256442866	-0.59020746834616	-2.58579802030266	3.2394618084645	4.5997232219862	-0.668651476382769	-3.22165583386936	5.62583249270101	-1.41528831899769	1.4520155844552	7.72136854101687	-0.451782454681931	-0.668651476382769	-2.13298762915902	-0.160936823277957	-3.11287604055122	-0.668651476382769	1.73787499256207	-2.58030262879949	3.24700718631194	-1.29950360469336	2.34591050802666	-2.14705663672281	-1.97022374424539	-0.750659627372496	-2.60885498445539	4.10684498378993	-2.06162242549096	7.28842905161831	-1.6315742244868	8.93366551221975	-2.19438619578248	2.08895247371663	8.38006512568383	-1.31107064327906	0.457958761427207	0.618814336111458	1.65928613465039	1.36109277122451	-1.87546599121246	-0.860046950762982	-0.848504028223133	-0.123240297940211	0.210994820935869	-2.04859896358759	1.12165197144083	0.305355492487636	-0.385164338669613	4.83060746164351	-0.569098989453011	-1.56413470378302	0.717947420559968	-0.353484602222343
ACAT1	11.2800943923212	11.8068099570487	10.7431704578124	10.1416830240498	10.4032517397924	10.601291404939	8.97589007800384	11.6473096512721	3.4860111985109	7.39872523595049	9.13342079567706	8.97589007800384	10.2364856862097	9.14841800219954	10.4103178747948	10.3955034203168	11.0705652566606	9.97657340749179	10.8552352874966	9.85643601059583	9.85643601059583	10.4876648089705	10.9065658413666	10.4800823778088	9.86273679019619	10.8801543647681	11.1225069053842	11.0807007040203	10.4177281641791	11.2910397149347	8.39794000974962	10.6961546921124	7.06753365613331	6.02448261411806	9.36609315973205	1.24028425641781	6.96454429920315	6.72709722162852	8.19683261696063	7.83289241959202	5.22922841865581	5.88352750918686	6.55298411948775	7.37006479045161	9.7949282025602	6.84646936755566	9.05062322942194	8.9683194654451	10.0393699307199	9.24325378806344	9.45298396309805	5.97483949553004	5.96563179651015	3.07720437152353	5.56161889699817	-1.9603943653785	10.5643554448761	9.08203989761923	7.81308543315623	4.16993056202684	5.7710801660925	10.5346237658311	7.4054305395333	2.89058908182374	6.88187478593561	9.91708464014916	3.22712016438545	-1.6315742244868	9.80895255737686	2.44357696723243	2.08895247371663	6.10584951444545	9.17319859865437	8.13305693752848	8.13305693752848	8.22370082053868	7.42539824110216	5.85125913363478	7.42539824110216	6.45967367344533	8.67962715200994	8.02684911629348	7.71324020503881	8.55961189461605	10.4970249159583	8.08763858724798	9.44351432171035	7.26466870768783	5.33405054593371	8.50430574137527	4.45932173456285
ACTA2	3.06542088017739	1.61141113666629	0.863398157748525	1.88400820158984	4.63488333870388	4.63488333870388	5.95618582559237	10.020989586189	9.62048178272486	3.78918079513115	6.39501437413282	8.13305693752848	8.71909153979629	10.5069935253341	6.8087210246021	11.4277134450893	4.94688843472448	3.20662485920062	11.5266152377746	8.28494720632814	4.24829126482855	10.3090312370489	11.5385333582312	9.69133040297193	3.85971381685033	3.52050676970475	9.96219176196561	10.2831357620636	11.4277134450893	9.42808412621299	4.38112872134549	9.49134486656178	-2.48280728898237	-0.678844242493572	-2.55999145343363	-3.43907578928732	-2.79894043507134	-2.94722793807588	-3.76340291516921	-3.61227593852565	-0.0196718258405686	-0.936319905093152	-3.44775988340639	-3.44775988340639	-1.56413470378302	-0.601992279638939	-3.13224468715035	-3.41373844913032	4.26786930458826	-1.43043738351368	-0.860046950762982	-3.48229698877331	-2.77429380475944	-0.240464494845743	-3.5632520541152	-3.61626733922166	-2.58030262879949	-2.23303783358348	-3.08377127483937	-2.87330747341724	-2.14705663672281	-1.97022374424539	-0.1920387755532	-2.60885498445539	-2.77162247126908	-2.06162242549096	-2.77162247126908	2.22330439033077	-0.369324470445978	-2.19438619578248	2.08895247371663	-0.385164338669613	-1.31107064327906	-3.66791294400127	-3.62025873991767	-3.87141011146497	-3.3595734182727	-2.66400771094204	-3.35428288283312	-3.13224468715035	-3.55028263469189	-3.49197898942276	-2.81754738448536	-3.35692815055291	-2.09850194084093	-3.61227593852565	-3.76340291516921	-3.59890802969446	-3.79762719368841	-3.44775988340639	-3.89753586697136
ACTC1	5.32422500116316	2.76054200132489	5.74675501758982	-2.1128576726786	-2.26181168124793	-0.262189131183828	0.663140831970973	-0.969564897572965	-2.40227164017917	-1.91949303473315	-2.21371201468298	-1.93591120805954	-1.98005312311229	14.5715956938783	14.196604696235	13.9340972506423	14.196604696235	14.196604696235	14.5715956938783	14.196604696235	14.5715956938783	14.5715956938783	15.0741944552845	14.196604696235	14.5715956938783	15.0741944552845	14.196604696235	14.196604696235	15.0741944552845	14.5715956938783	15.0741944552845	13.6284198591158	-2.8923414497839	-2.9184371666266	-1.27491822209974	-0.731066932086595	-2.38762556512948	-2.79894043507134	-3.76340291516921	-3.61227593852565	1.86489248684655	-1.74515901877052	-3.44775988340639	-1.48114366609214	5.05620854109913	-2.01081523713192	-3.76340291516921	-2.64521213402349	3.78017255832847	-2.1040538603811	-0.668651476382769	-3.48229698877331	-1.73530655193497	1.463140005673	-2.70839799073434	-3.61626733922166	-2.58030262879949	-2.23303783358348	-3.08377127483937	-2.87330747341724	-2.14705663672281	-1.97022374424539	-2.87330747341724	-2.60885498445539	-2.77162247126908	-2.06162242549096	1.47426442689079	-1.6315742244868	-0.369324470445978	-2.19438619578248	2.08895247371663	-0.385164338669613	-1.31107064327906	-3.84528435595857	-3.62025873991767	-3.70311785606337	-2.01885347483074	-2.33476620806925	-2.51656432625497	-2.99844794365289	-3.81976866260816	-3.49197898942276	-2.92946258128276	-3.35692815055291	-3.37743342861169	-3.51109753732635	-2.1611256442866	-2.77429380475944	-3.06750925171117	-3.86270152629617	-3.55028263469189
AHNAK	10.8801543647681	11.1225069053842	0.863398157748525	11.5533481887991	8.81802153406984	11.8796025602873	7.61391166194056	8.54308950882386	11.9889448601022	7.23352132836554	11.3119202587719	11.0705652566606	8.08763858724798	3.98432312508232	3.3009844152898	6.68416607705858	6.02448261411806	5.22479477737836	7.67658701667713	6.69530742377212	6.54784567282896	6.69530742377212	8.02177418970975	8.2675358130704	5.30258581038715	7.78441239950209	5.81665946368093	8.51083509525162	8.88579776656694	8.08763858724798	8.74141916491121	7.5952775347755	-3.70311785606337	-0.678844242493572	-3.5231169354752	-3.43907578928732	-2.23303783358348	-3.12129588686646	-3.29239466618283	-2.77162247126908	-0.0196718258405686	-3.62025873991767	1.50210859071499	-2.9051034315912	-3.22165583386936	-3.36646574825007	-2.1040538603811	-1.99141506127269	1.64315065748028	1.65928613465039	-1.32566671627752	-3.48229698877331	-3.61626733922166	-3.11287604055122	-2.47039073387577	-3.61626733922166	2.55008505469849	-2.23303783358348	-3.08377127483937	-2.87330747341724	-2.14705663672281	-1.97022374424539	-2.87330747341724	5.96563179651015	-2.77162247126908	-2.06162242549096	-2.77162247126908	-1.6315742244868	-0.369324470445978	-2.19438619578248	2.08895247371663	5.97483949553004	-1.31107064327906	-3.52053408458049	-2.1040538603811	-3.26602542650888	-3.3595734182727	-3.66227298679599	-3.89753586697136	-2.04859896358759	-2.92394987395468	-1.6925233500064	-3.48229698877331	-3.35692815055291	-3.37743342861169	-2.45278663303507	-3.01951350121304	-3.59890802969446	-1.76494314757766	-3.24794931081637	-1.09505402935005
ANKRD1	3.62639472472821	2.34591050802666	0.863398157748525	-2.1128576726786	1.47426442689079	-0.262189131183828	0.663140831970973	5.99210647619917	8.69532962236427	1.71216537772686	-2.21371201468298	1.64315065748028	1.69520572984992	12.9297339825373	9.72599768425082	11.4841129986393	12.3337876778051	13.1260183429476	12.8709646929068	11.7421999183529	14.196604696235	12.8709646929068	10.0984468381881	12.5764307090243	13.9340972506423	11.9498453395797	15.0741944552845	11.8068099570487	9.75398693626152	15.0741944552845	10.8472076415467	11.8622539659286	-3.13224468715035	-0.154539585110222	-2.55999145343363	-3.43907578928732	-3.06750925171117	-1.79219992858948	-1.90307486140676	-3.61227593852565	-2.58579802030266	-0.750659627372496	-2.19438619578248	-0.0299410846251597	-3.22165583386936	2.79898124491377	-3.65285024345623	-2.14705663672281	-3.52053408458049	0.159808277404332	-3.55028263469189	-3.48229698877331	-2.45278663303507	-3.11287604055122	-3.5632520541152	-3.61626733922166	-0.1920387755532	-2.23303783358348	-3.08377127483937	-2.87330747341724	-2.14705663672281	-1.97022374424539	-2.87330747341724	-2.60885498445539	-2.77162247126908	-2.06162242549096	-2.77162247126908	-1.6315742244868	-0.369324470445978	-2.19438619578248	2.08895247371663	-0.385164338669613	-1.31107064327906	-2.9184371666266	-3.62025873991767	-3.61626733922166	-3.3595734182727	-3.09790744917286	-2.8923414497839	-3.69906859455696	-0.240464494845743	-1.97022374424539	-0.977535608849974	-3.35692815055291	-3.37743342861169	-1.9603943653785	-3.33172554756513	-3.59890802969446	-3.79762719368841	-2.64521213402349	-2.51656432625497
ARF1	9.8497395222644	10.6562944515928	10.1042527883361	9.8497395222644	10.6637338533377	9.62852499761961	10.2502551685984	8.86467048445636	10.8512214645217	11.3774144573792	11.3531978784066	9.98932099657729	11.2360128838701	11.4277134450893	12.0302610100834	11.6618694651854	11.2676764057763	10.8472076415467	11.2249041415395	12.0302610100834	12.2203004193406	12.1194536373403	11.1932105344232	11.693256702099	11.6333958659278	11.3119202587719	11.7739298518464	11.300833869489	11.8961722811687	11.214200184391	10.5788340645813	11.693256702099	11.0169541298119	9.86273679019619	9.91708464014916	10.4237189170842	11.2249041415395	10.4580418964186	10.4662150272599	9.61296467687374	8.89432038512811	7.74935551801111	8.66714156961684	11.214200184391	10.0906296531906	8.17592105888116	9.7949282025602	10.0270446180173	10.4103178747948	9.37239951996411	10.6961546921124	8.34815107081448	8.06886893100117	7.41627049514877	6.54784567282896	10.2766982178204	10.3473184145606	9.33035883634571	6.08844189530467	11.0000892678735	11.913432975156	9.78101464664247	9.44948363743151	9.95558901706516	8.9416699113454	10.4662150272599	10.355486737295	10.5943643905029	4.86873435613347	11.2046639735527	10.3891977554482	5.80652471856417	12.0302610100834	10.9909040995129	11.0807007040203	11.6182063087367	10.5000984132357	10.7431704578124	10.5943643905029	10.4580418964186	11.7917936466342	10.4306863847237	10.6961546921124	10.601291404939	10.6712800353635	11.2046639735527	11.1310315924611	10.5178292752645	10.1546619499065	11.3119202587719	10.6322159740622
